epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.876,1.30414,2.49643,1.7091,0.00328,1,0.98178,0.67578,0.77003,2.7762,1.4693,0.00014,0.00014,0.00014
2,440.412,1.19648,1.49581,1.5431,0.00328,1,0.98676,0.65254,0.95803,2.67671,1.49385,0.00029406,0.00029406,0.00029406
3,528.365,1.07804,1.13954,1.39586,0.9757,0.65835,0.98855,0.60158,1.20331,2.31456,1.90771,0.000441784,0.000441784,0.000441784
4,634.474,1.01859,1.05875,1.39356,0.98374,0.99191,0.98919,0.6985,0.98123,1.87234,1.66715,0.000583172,0.000583172,0.000583172
5,719.2,1.03304,1.02898,1.35883,0.84285,0.87932,0.94145,0.61828,1.05425,2.06476,1.61666,0.000718224,0.000718224,0.000718224
6,769.243,1.03487,0.96861,1.33561,0.97972,0.98361,0.9914,0.67366,1.15818,1.62062,1.9903,0.00084694,0.00084694,0.00084694
7,828.702,1.02188,0.9692,1.40247,0.96752,0.97658,0.99113,0.61718,1.19878,1.69097,2.00881,0.00096932,0.00096932,0.00096932
8,970.574,1.02455,0.90846,1.35353,0.98382,0.99658,0.99,0.68169,1.1322,1.42743,2.00631,0.00108536,0.00108536,0.00108536
9,1028.92,1.11053,0.93755,1.3889,0.97827,0.98361,0.98656,0.63692,1.29842,1.38368,2.08598,0.00119507,0.00119507,0.00119507
10,1117.04,1.04571,0.89611,1.35979,0.92059,0.96721,0.98071,0.62998,1.20057,1.54788,1.78991,0.00129844,0.00129844,0.00129844
11,1169.28,1.06302,0.90512,1.39201,0.62433,0.85246,0.73803,0.27722,1.91812,2.05955,2.73086,0.00139548,0.00139548,0.00139548
12,1227.84,1.14381,0.90706,1.41127,0.72789,0.65783,0.74955,0.3062,1.65139,2.0166,2.17105,0.00148618,0.00148618,0.00148618
13,1284.96,1.09761,0.83669,1.38081,0.91404,0.93443,0.98105,0.65694,1.05716,1.14611,1.7198,0.0015248,0.0015248,0.0015248
14,1339.55,1.00195,0.78886,1.34841,0.98382,0.9969,0.98532,0.7354,1.00022,0.97423,1.68237,0.0014852,0.0014852,0.0014852
15,1390.94,1.01297,0.78902,1.33412,0.98207,1,0.98774,0.7156,0.98726,0.89205,1.71511,0.0014456,0.0014456,0.0014456
16,1475.14,0.99322,0.76873,1.30528,0.964,1,0.99138,0.69197,1.06484,1.0525,1.72105,0.001406,0.001406,0.001406
17,1526.47,1.01803,0.77854,1.36682,0.97297,0.98361,0.99435,0.76606,0.93608,0.87832,1.53489,0.0013664,0.0013664,0.0013664
18,1583.52,0.97796,0.72179,1.326,0.90432,0.92976,0.96355,0.63071,1.15889,1.42705,1.8047,0.0013268,0.0013268,0.0013268
19,1708.76,0.95104,0.67955,1.27987,0.52367,0.70291,0.56236,0.18962,1.43644,2.55014,1.88546,0.0012872,0.0012872,0.0012872
20,1822.71,0.95713,0.66879,1.3074,0.8604,0.86885,0.93653,0.68825,0.96248,1.12685,1.50922,0.0012476,0.0012476,0.0012476
21,1935.14,0.99318,0.65043,1.32883,0.96366,1,0.97911,0.74532,0.98746,0.76599,1.52823,0.001208,0.001208,0.001208
22,2032.54,0.93282,0.66081,1.27593,0.98239,1,0.97919,0.74736,0.90756,0.6823,1.44004,0.0011684,0.0011684,0.0011684
23,2085.87,0.95403,0.65493,1.28715,0.98234,1,0.9821,0.76247,0.91811,0.67982,1.45985,0.0011288,0.0011288,0.0011288
24,2506.74,0.94449,0.64437,1.28374,0.98274,1,0.97919,0.75137,0.91629,0.65106,1.51731,0.0010892,0.0010892,0.0010892
25,2625.09,0.95219,0.65172,1.30494,0.98269,1,0.97919,0.72916,0.95865,0.66079,1.62113,0.0010496,0.0010496,0.0010496
26,2683.87,0.92958,0.63076,1.28796,0.98383,0.99748,0.97919,0.68672,1.1163,0.68622,1.78681,0.00101,0.00101,0.00101
27,2745.62,0.95963,0.60368,1.28087,0.96367,1,0.97952,0.71224,1.02097,0.67986,1.58602,0.0009704,0.0009704,0.0009704
28,2799.39,0.89508,0.56977,1.30447,0.98252,1,0.98984,0.72734,0.98143,0.63724,1.55153,0.0009308,0.0009308,0.0009308
29,2863.8,0.9305,0.57811,1.2624,0.98232,1,0.9821,0.74922,0.89309,0.60694,1.44641,0.0008912,0.0008912,0.0008912
30,2925.33,0.89075,0.56049,1.24066,0.98252,1,0.99355,0.74248,0.95301,0.59225,1.50514,0.0008516,0.0008516,0.0008516
31,3248.25,0.91211,0.5611,1.30323,0.98272,1,0.98742,0.76257,0.88015,0.55679,1.43526,0.000812,0.000812,0.000812
32,3306.65,0.83938,0.53628,1.21901,0.98277,1,0.99403,0.74176,0.92265,0.55724,1.49734,0.0007724,0.0007724,0.0007724
33,3385.22,0.8308,0.5146,1.20365,0.98294,1,0.99484,0.75131,0.92204,0.5702,1.51401,0.0007328,0.0007328,0.0007328
34,3463.78,0.84404,0.53418,1.22301,0.98294,1,0.99371,0.75258,0.93765,0.58564,1.53715,0.0006932,0.0006932,0.0006932
35,3517.93,0.90121,0.5346,1.25179,0.98285,1,0.99435,0.759,0.93007,0.56959,1.5353,0.0006536,0.0006536,0.0006536
36,3574.63,0.88046,0.52151,1.24336,0.98283,1,0.99161,0.73761,0.99655,0.55213,1.58949,0.000614,0.000614,0.000614
37,3625.47,0.85929,0.52098,1.2554,0.9828,1,0.9871,0.74237,0.94126,0.53529,1.49929,0.0005744,0.0005744,0.0005744
38,3676.07,0.86663,0.53641,1.22775,0.98287,1,0.98323,0.73907,0.9381,0.53227,1.47694,0.0005348,0.0005348,0.0005348
39,3737.14,0.87302,0.52898,1.2403,0.98287,1,0.97952,0.71374,0.95354,0.52907,1.50812,0.0004952,0.0004952,0.0004952
40,3816.04,0.79208,0.50254,1.19733,0.98291,1,0.97952,0.72455,0.94495,0.51902,1.51424,0.0004556,0.0004556,0.0004556
41,3872.42,0.81231,0.80363,1.33109,0.98288,1,0.98081,0.73937,0.93162,0.54693,1.50841,0.000416,0.000416,0.000416
42,3963.38,0.78545,0.63159,1.30063,0.98258,1,0.98339,0.72956,0.96164,0.65865,1.53392,0.0003764,0.0003764,0.0003764
43,4050.01,0.77244,0.63111,1.28332,0.9828,1,0.98258,0.72889,0.98611,0.62578,1.55134,0.0003368,0.0003368,0.0003368
44,4215.11,0.73519,0.57731,1.26537,0.98291,1,0.9821,0.72682,0.94068,0.57541,1.48037,0.0002972,0.0002972,0.0002972
45,4321.44,0.72957,0.55146,1.27801,0.98294,1,0.98403,0.73925,0.92428,0.58065,1.45569,0.0002576,0.0002576,0.0002576
46,4415.74,0.73682,0.54938,1.29726,0.98296,1,0.98581,0.75133,0.92519,0.56881,1.45089,0.000218,0.000218,0.000218
47,4485.67,0.71857,0.53675,1.25018,0.98294,1,0.9829,0.74466,0.9285,0.5426,1.45751,0.0001784,0.0001784,0.0001784
48,4557.85,0.70621,0.53081,1.25871,0.98296,1,0.98371,0.74202,0.93369,0.52576,1.45878,0.0001388,0.0001388,0.0001388
49,4740.66,0.72772,0.52986,1.29681,0.98295,1,0.98452,0.74879,0.9268,0.51425,1.44273,9.92e-05,9.92e-05,9.92e-05
50,4861.34,0.7071,0.52042,1.25643,0.98294,1,0.98419,0.74846,0.91943,0.51193,1.43235,5.96e-05,5.96e-05,5.96e-05
